question,ground_truth,contexts
What type of accelerometer is the PhidgetAccelerometer 3-Axis?,The PhidgetAccelerometer 3-Axis is a three-axis accelerometer.,['Three axis accelerometer']
What is the measurement range of the PhidgetAccelerometer on each axis?,The accelerometer measures ±3 gravities (±29.4 m/s²) per axis.,['Measures ±3 gravities (± 29.4m/s2) change per axis']
What types of acceleration can the PhidgetAccelerometer measure?,"It can measure both dynamic acceleration, such as vibration or change in velocity, and static acceleration, such as gravity or tilt.",['Measure both dynamic acceleration (vibration) and static acceleration (gravity or tilt)']
Is the PhidgetAccelerometer calibrated at the factory?,"Yes, the PhidgetAccelerometer is internally calibrated at the factory.",['Internally calibrated at the factory']
What are some applications of the PhidgetAccelerometer?,"It can be used for sensing tilt in remotely operated vehicles, capturing motion input for gaming or Human Interface Research, capturing long-term vibration data for machinery analysis, and detecting movement or presence through structural vibration.",['Can be used for: Sensing tilt in remotely operated vehicles. Capturing motion input for gaming or for Human Interface Research. Capturing long term vibration data to help with the analysis of machinery performance. Detecting movement or presence by measuring structural vibration.']
Which operating systems are supported by the PhidgetAccelerometer programming environment?,"The supported operating systems are Windows 2000, XP, Vista, 7, Windows CE, Linux, and Mac OS X.","['Operating Systems: Windows 2000/XP/Vista/7, Windows CE, Linux, and Mac OS X']"
Which programming languages and APIs are supported by the PhidgetAccelerometer?,"Supported programming languages and APIs include VB6, VB.NET, C#.NET, C++, Flash 9, Flex, Java, LabVIEW, Python, Max/MSP, and Cocoa.","['Programming Languages (APIs): VB6, VB.NET, C#.NET, C++, Flash 9, Flex, Java, LabVIEW, Python, Max/MSP, and Cocoa.']"
How does the PhidgetAccelerometer connect to a computer?,The board connects directly to a computer's USB port using the custom USB cable.,"['The board connects directly to a computer’s USB port.', 'Connect the PhidgetAccelerometer to your PC using the custom USB cable.']"
What comes in the box with the PhidgetAccelerometer?,The package contains a PhidgetAccelerometer 3-Axis and a custom USB cable.,['You should have received: A PhidgetAccelerometer 3-Axis; A custom USB cable']
How do you install the Phidgets drivers on Windows?,"You should go to the Phidgets Drivers page, download the Phidget21 Installer appropriate for the PC (32-bit or 64-bit), and run it.","['Go to www.phidgets.com >> Drivers', 'Download and run Phidget21 Installer (32-bit, or 64-bit, depending on your PC)']"
